capture_label,session_id,locklet_id,source_name,status,reason,state_count
H5,cap-20260825T083906-9e15fac173f1,H5-T000,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,34
H5,cap-20260825T083906-9e15fac173f1,H5-T001,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T002,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T003,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T004,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T005,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T006,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H5,cap-20260825T083906-9e15fac173f1,H5-T007,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T000,opened_holdout_tile_inventory,source_failure,selected interval has no exact branch-bound GLRT epoch source,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T001,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T002,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T003,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T004,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T005,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T006,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T007,opened_holdout_tile_inventory,non_evaluable,no identical-mask state rows after frozen causal support gates,0
H6,cap-20260825T071530-b00e74ac23ee,H6-T008,opened_holdout_tile_inventory,source_failure,selected interval has no exact branch-bound GLRT epoch source,0
H7,cap-20260825T054455-47f684bbc3cc,H7-T000,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,906
H7,cap-20260825T054455-47f684bbc3cc,H7-T001,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1063
H7,cap-20260825T054455-47f684bbc3cc,H7-T002,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1126
H7,cap-20260825T054455-47f684bbc3cc,H7-T003,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1126
H7,cap-20260825T054455-47f684bbc3cc,H7-T004,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,1127
H7,cap-20260825T054455-47f684bbc3cc,H7-T005,opened_holdout_tile_inventory,evaluable,identical-mask state rows available,58
