iteration,name,postseal_geographic_error_km,aggregate_min_km,aggregate_max_km,geographic_metric_kind,current_disposition,note,source_path,source_sha256
13,Basin closure,0.5999,,,point,invalidated,Historically qualified; iteration 19 found the inherited rate-bound detector defective.,reports/2026_09_24_ds1_iteration13_basin_closure/REPORT.md,784680f364bedb19b96d50d5886153df14a848c15728a0bdf1014c105f32c5d7
14,Raw cap-800 basin,0.488151,,,point,diagnostic,Terminal boundary point only; explicitly not a position estimate.,reports/2026_09_24_ds1_iteration14_cap800_basin/REPORT.md,b4143e81a546beed2a00e1c11e13558617031cce634c965d97eb6bd84a015bd4
15,Information-weighted basin,0.575577,,,point,invalidated,Historical best qualified claim; explicitly rejected by iteration 19.,reports/2026_09_25_ds1_iteration19_rate_bound_audit/REPORT.md,14d52961cab87aa9ad423eb842f7dd8f72e4b581c7e3bdde4d1cadf815bd0733
16,Dynamic association,0.85963,,,point,diagnostic,Unqualified terminal boundary point.,reports/2026_09_24_ds1_iteration16_dynamic_association/REPORT.md,9c894a1868cd56e5bd76e74131b665cd073f532fd99dfbeb2e453c004abd37f6
17,Reacquire then freeze,0.662549,,,point,invalidated,"Originally qualified, but its persisted rates include values within optimizer tolerance of the old ±0.25 guard; it has not passed the corrected gate.",reports/2026_09_24_ds1_iteration17_reacquire_then_freeze/inference.json,62190e480ad44b061880e5edfcf7ff0ca4b02e8ac53b9de0db301a639397bdc9
18,Timing refresh,0.884064,,,point,diagnostic,Unqualified terminal boundary point.,reports/2026_09_24_ds1_iteration18_timing_refresh/REPORT.md,3c4a984b95815790b0dc75d8fe46978e676fe04d3286f222d63eb07108a8d6dc
19,Rate-bound audit,0.910457,,,point,audit,Correctly invalidated iteration 15; widened-rate basin remained open and this value is diagnostic only.,reports/2026_09_25_ds1_iteration19_rate_bound_audit/REPORT.md,14d52961cab87aa9ad423eb842f7dd8f72e4b581c7e3bdde4d1cadf815bd0733
20,Session-balanced zero-rate,0.26745,,,point,diagnostic,"Very close terminal boundary point, but the objective was still descending; not a position estimate.",reports/2026_09_25_ds1_iteration20_session_predictive/REPORT.md,2a93acbf0e781c69b9e872fc3ae64f187114461aec58ba4fe4d64c74b3f522ed
21,Closure extension,0.713795,,,point,diagnostic,Selected terminal boundary error; closest visited point was 0.172805 km but was not RF-selected and is not plotted as an estimate.,reports/2026_09_25_ds1_iteration21_session_balanced_closure/REPORT.md,0e23745cfd68522553f0631a984ef565c7727986ecddd406ddd1bd2cc6b77ae8
22,Randomized-time predictive scorer,,,,none,model_progress,"No geographic search. Rates improved randomized HELD loss in all 12 sessions, but four sources hit the old rate guard.",reports/2026_09_25_ds1_iteration22_randomized_time_predictive/smoke.json,818a2236432f13afd98cc32623214e3619858dd95519869d89459142ad8c425a
23,Widened-rate audit,,,,none,no_go,No geographic search. ±0.50 s/h failed its prospective gate; ±1 was diagnostic only.,reports/2026_09_25_ds1_iteration23_widened_rate/smoke.json,b58540c5fcf4ab342b3c50329600354c276e9533275f6c7821bc18a61bcefa8f
24,Cross-fitted rate identifiability,,,,none,no_go,"No geographic search. 65/80 eligible sources passed, but the universal prospective gate failed.",reports/2026_09_25_ds1_iteration24_crossfit_rate/audit.json,126146526fe7d82a05ede40fc637a98fa63386730e390466a041c8b22ab83b95
25,Source admission,,,,none,no_go,No geographic search. HELD improved versus zero but regressed versus both all-source rate controls.,reports/2026_09_25_ds1_iteration25_source_admission/evaluation.json,52251cf714b98057e1922e4bf85c2f8ec029f8855788cb962fb0b5c5f6eb2551
26,Rate marginalization,,,,none,numerical_no_go,No geographic search. Statistical smoke passed; a remote-mode quartic extrapolation failed the exact 0.2 Hz gate.,reports/2026_09_25_ds1_iteration26_rate_marginal/smoke.json,db2977e1138ebea868f8e707b5e075c9dd6b31d63d3b892a342db2e617dc0e62
27,Exact phase-state cache and sealed stencil,1.112841731176525,,,point,search_open,"Exact-cache smoke passed, but the southwest stencil boundary won and all 12 leave-one-session reranks agreed; unqualified diagnostic.",reports/2026_09_25_ds1_iteration27_phase_cache/evaluation/postseal-evaluation.json,22cd8e65721d13d1c4755caee402bd33875cf814d33ee8e7b70d4628de53cba9
